UNIQUE KEY,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,PERSONS INJURED
3597670,1/12/2017,13:45,BRONX,10457,40.8419693,-73.9041564,"(40.8419693, -73.9041564)",WEBSTER AVENUE,BELMONT STREET,,0
3597165,1/12/2017,13:49,BRONX,10462,40.8438407,-73.8652824,"(40.8438407, -73.8652824)",,,707       VANNEST AVENUE,0
3598570,1/12/2017,13:50,BRONX,10454,40.8062284,-73.9120572,"(40.8062284, -73.9120572)",JACKSON AVENUE,EAST 140 STREET,,0
3597161,1/12/2017,13:50,BRONX,10461,40.842733,-73.8383733,"(40.842733, -73.8383733)",,,1200      WATERS PLACE,0
3600308,1/12/2017,13:50,MANHATTAN,10128,40.7819473,-73.9456705,"(40.7819473, -73.9456705)",EAST 94 STREET,1 AVENUE,,0
3598347,1/12/2017,13:50,,,,,,MEEKER AVENUE,KINGSLAND AVENUE,,0
3597141,1/12/2017,13:50,,,,,,UNION STREET,,,0
3597672,1/12/2017,13:50,,,,,,BATH AVENUE,,,1
3598098,1/12/2017,13:55,BROOKLYN,11226,40.6377676,-73.9586726,"(40.6377676, -73.9586726)",OCEAN AVENUE,NEWKIRK AVENUE,,1
3599601,1/12/2017,13:55,MANHATTAN,10019,40.7646844,-73.9917874,"(40.7646844, -73.9917874)",WEST 50 STREET,10 AVENUE,,1
3598042,1/12/2017,14:00,QUEENS,11101,40.7556813,-73.9323081,"(40.7556813, -73.9323081)",,,29-09     37 AVENUE,0
3597075,1/12/2017,14:00,QUEENS,11434,40.6627243,-73.7665908,"(40.6627243, -73.7665908)",,,179-12    146 ROAD,0
3597645,1/12/2017,14:00,,,,,,FRANKLIN AVENUE,,,0
3598091,1/12/2017,14:00,,,40.8450257,-73.9263156,"(40.8450257, -73.9263156)",,,,1
3598103,1/12/2017,14:00,,,40.8451897,-73.9111894,"(40.8451897, -73.9111894)",,,,1
3597288,1/12/2017,14:00,,,40.7534092,-73.8523438,"(40.7534092, -73.8523438)",,,,2
3600004,1/12/2017,14:00,,,,,,HAMILTON AVENUE,,,0
3598180,1/12/2017,14:05,BRONX,10466,40.8934041,-73.8514918,"(40.8934041, -73.8514918)",BUSSING AVENUE,DIGNEY AVENUE,,7
3597325,1/12/2017,14:10,,,,,,1 AVENUE,,,0
3597090,1/12/2017,14:10,,,40.7700805,-73.9478277,"(40.7700805, -73.9478277)",,,,0
3599615,1/12/2017,14:14,,,,,,SUTPHIN BOULEVARD,,,1
3597474,1/12/2017,14:15,MANHATTAN,10019,40.7649952,-73.9767049,"(40.7649952, -73.9767049)",AVENUE OF THE AMERICAS,WEST 58 STREET,,0
3597076,1/12/2017,14:15,BRONX,10467,40.8771397,-73.8752676,"(40.8771397, -73.8752676)",EAST 209 STREET,PERRY AVENUE,,0
3597219,1/12/2017,14:15,BRONX,10467,40.8798233,-73.8672671,"(40.8798233, -73.8672671)",EAST 213 STREET,OLINVILLE AVENUE,,1
3597159,1/12/2017,14:20,QUEENS,11435,40.709594,-73.8148108,"(40.709594, -73.8148108)",,,141-50    85 ROAD,0
3597685,1/12/2017,14:21,,,40.842503,-73.9279597,"(40.842503, -73.9279597)",,,,1
3614272,1/12/2017,14:24,BROOKLYN,11233,40.67619,-73.9081,"(40.67619, -73.9081)",EASTERN PARKWAY,ATLANTIC AVENUE,,0
3597229,1/12/2017,14:25,,,,,,,,,0
3597237,1/12/2017,14:25,,,40.7195512,-73.9748892,"(40.7195512, -73.9748892)",,,,0
3600270,1/12/2017,14:30,,,,,,EAST 56 STREET,,,0
3597192,1/12/2017,14:30,BROOKLYN,11209,40.6287012,-74.0229594,"(40.6287012, -74.0229594)",76 STREET,5 AVENUE,,0
3597214,1/12/2017,14:30,BROOKLYN,11217,40.6845502,-73.9828625,"(40.6845502, -73.9828625)",,,266       DEAN STREET,0
3597098,1/12/2017,14:30,QUEENS,11367,40.7381389,-73.8249435,"(40.7381389, -73.8249435)",,,63-25     MAIN STREET,0
3597109,1/12/2017,14:30,QUEENS,11693,40.6058131,-73.819622,"(40.6058131, -73.819622)",CROSS BAY BOULEVARD,WEST 10 ROAD,,0
3597144,1/12/2017,14:30,,,,,,160 STREET,,,0
3603306,1/12/2017,14:30,,,40.663124,-73.96244,"(40.663124, -73.96244)",FLATBUSH AVENUE,,,0
3597539,1/12/2017,14:30,,,40.66755,-73.773575,"(40.66755, -73.773575)",,,,1
